,Date,Open,High,Low,Close,Adj Close,Volume
839,2014-08-14,24.0,24.299,23.700001,23.728001,23.728001,13900.0
840,2014-08-18,23.728001,24.450001,23.6,23.839001,23.839001,17950.0
841,2014-08-19,24.299999,24.450001,24.0,24.0,24.0,6820.0
842,2014-08-20,24.205,24.5,24.030001,24.033001,24.033001,9240.0
843,2014-08-21,24.153999,24.4,24.049999,24.051001,24.051001,13750.0
844,2014-08-22,24.049999,24.4,23.9,24.157,24.157,14430.0
845,2014-08-25,24.17,24.465,23.856001,23.893999,23.893999,18000.0
846,2014-08-26,23.879999,24.395,23.879999,24.395,24.395,29790.0
847,2014-08-27,24.4,24.4,24.105,24.153,24.153,22560.0
848,2014-08-28,24.4,24.6,24.01,24.41,24.41,12050.0
849,2014-09-01,24.549999,25.6,24.4,24.408001,24.408001,24690.0
850,2014-09-02,24.700001,24.9,24.417,24.450001,24.450001,7490.0
851,2014-09-03,24.450001,24.999001,24.415001,24.493999,24.493999,160840.0
852,2014-09-04,24.525,24.749001,24.200001,24.200001,24.200001,102140.0
853,2014-09-05,24.5,24.98,24.27,24.365,24.365,27120.0
854,2014-09-08,24.799999,24.799999,24.125,24.188999,24.188999,41810.0
855,2014-09-09,24.4,24.6,24.325001,24.476,24.476,12110.0
856,2014-09-10,24.4,24.700001,24.4,24.511,24.511,13920.0
857,2014-09-11,24.51,24.695,24.415001,24.6,24.6,15760.0
858,2014-09-12,24.690001,24.99,24.525,24.576,24.576,18360.0
859,2014-09-15,24.700001,24.749001,24.334999,24.476999,24.476999,31860.0
860,2014-09-16,24.5,24.6,24.200001,24.472,24.472,35330.0
861,2014-09-17,24.5,24.579,24.299999,24.415001,24.415001,8980.0
862,2014-09-18,24.549999,24.65,24.35,24.466999,24.466999,8210.0
863,2014-09-19,24.559999,24.695,24.25,24.559999,24.559999,10600.0
864,2014-09-22,24.59,24.790001,24.299999,24.511999,24.511999,46600.0
865,2014-09-23,24.700001,25.290001,24.355,24.415001,24.415001,39260.0
866,2014-09-24,24.415001,24.58,24.325001,24.334999,24.334999,15590.0
867,2014-09-25,24.700001,24.790001,24.334999,24.497999,24.497999,16080.0
868,2014-09-26,24.305,24.495001,24.055,24.24,24.24,14360.0
869,2014-09-29,24.5,24.625,24.355,24.611,24.611,25640.0
870,2014-09-30,24.525,24.690001,24.375,24.450001,24.450001,26530.0
871,2014-10-01,24.67,24.875,24.5,24.601,24.601,13580.0
872,2014-10-07,24.77,25.0,24.625,24.781,24.781,21960.0
873,2014-10-08,24.504999,24.74,24.35,24.381001,24.381001,6850.0
874,2014-10-09,24.41,24.6,24.299999,24.379999,24.379999,42140.0
875,2014-10-10,24.200001,24.440001,23.6,23.959,23.959,23050.0
876,2014-10-13,24.0,24.235001,23.700001,23.787001,23.787001,15770.0
877,2014-10-14,23.75,24.0,23.6,23.934,23.934,10240.0
878,2014-10-15,,,,,,
879,2014-10-16,24.1,24.405001,22.1,23.240999,23.240999,16430.0
880,2014-10-17,23.5,23.5,23.0,23.075001,23.075001,12960.0
881,2014-10-20,23.5,24.18,23.5,24.153,24.153,23630.0
882,2014-10-21,24.148001,24.58,23.700001,24.281,24.281,9030.0
883,2014-10-22,23.799999,24.594999,23.799999,24.066,24.066,10090.0
884,2014-10-27,24.57,24.665001,24.002001,24.452,24.452,16710.0
885,2014-10-28,24.870001,24.99,24.402,24.979,24.979,8190.0
886,2014-10-29,24.989,25.195,24.805,25.110001,25.110001,40680.0
887,2014-10-30,24.301001,25.195,24.301001,25.190001,25.190001,7630.0
888,2014-10-31,25.0,25.5,25.0,25.094,25.094,7220.0
889,2014-11-03,25.5,25.809999,25.5,25.701,25.701,9170.0
890,2014-11-05,25.9,26.0,24.85,24.986,24.986,16480.0
891,2014-11-07,25.299999,26.469999,25.25,25.615,25.615,21160.0
892,2014-11-10,25.725,25.99,25.615,25.870001,25.870001,10360.0
893,2014-11-11,25.975,25.999001,25.385,25.499001,25.499001,15420.0
894,2014-11-12,25.945,25.945,25.35,25.700001,25.700001,13140.0
895,2014-11-13,25.315001,25.98,25.315001,25.649,25.649,8240.0
896,2014-11-14,25.959,25.959,25.4,25.785999,25.785999,14310.0
897,2014-11-17,25.98,26.198999,25.451,25.85,25.85,21890.0
898,2014-11-18,25.75,26.219999,25.6,25.950001,25.950001,42410.0
899,2014-11-19,26.1,26.299,25.701,26.171,26.171,11930.0
900,2014-11-20,26.1,26.58,25.750999,26.056999,26.056999,8450.0
901,2014-11-21,26.200001,26.5,25.856001,25.896,25.896,11080.0
902,2014-11-24,26.198999,26.5,25.711,26.004999,26.004999,9600.0
903,2014-11-25,26.200001,26.73,25.85,26.389999,26.389999,10200.0
904,2014-11-26,25.854,26.379999,25.816,26.25,26.25,8550.0
905,2014-11-27,26.200001,26.6,26.1,26.514,26.514,3490.0
906,2014-11-28,26.725,27.4,26.305,26.509001,26.509001,119920.0
907,2014-12-01,26.799999,27.999001,26.705,26.836,26.836,15720.0
908,2014-12-02,26.700001,27.344999,26.700001,27.132,27.132,8340.0
909,2014-12-03,26.655001,27.200001,26.655001,27.062,27.062,11520.0
910,2014-12-04,26.61553,26.61553,26.61553,26.61553,26.61553,0.0
911,2014-12-05,26.806,28.0,26.75,27.548,27.548,5380.0
912,2014-12-08,26.9,28.540001,26.85,27.743,27.743,11630.0
913,2014-12-09,27.101,28.445,27.101,27.700001,27.700001,15210.0
914,2014-12-10,27.25,27.99,26.5,26.707001,26.707001,13270.0
915,2014-12-11,26.801001,27.436001,25.6,25.974001,25.974001,27760.0
916,2014-12-12,26.465,26.995001,26.000999,26.995001,26.995001,4320.0
917,2014-12-15,26.201,26.99,26.201,26.246,26.246,483670.0
918,2014-12-16,26.495001,26.495001,25.4,25.606001,25.606001,173020.0
919,2014-12-17,25.549999,25.700001,24.809999,25.367001,25.367001,7300.0
920,2014-12-18,26.4,26.4,25.441,25.662001,25.662001,34060.0
921,2014-12-19,26.290001,26.9,25.85,25.999001,25.999001,38600.0
922,2014-12-22,26.200001,26.719999,26.051001,26.389,26.389,10720.0
923,2014-12-23,26.410999,26.799,25.851,26.056,26.056,15420.0
924,2014-12-24,26.48,26.76,25.844999,26.624001,26.624001,44910.0
925,2014-12-26,26.860001,26.860001,26.24,26.243999,26.243999,33630.0
926,2014-12-29,26.5,26.5,26.004999,26.079,26.079,275250.0
927,2014-12-30,26.35,26.49,26.1,26.275999,26.275999,365850.0
928,2014-12-31,26.399,26.597,26.225,26.576,26.576,4900.0
929,2015-01-01,26.4,27.639999,26.4,26.865,26.865,21430.0
930,2015-01-02,27.0,27.200001,26.360001,26.509001,26.509001,24580.0
931,2015-01-05,27.85,27.85,26.799999,26.938999,26.938999,13740.0
932,2015-01-06,27.0,27.190001,26.115999,26.5,26.5,22550.0
