,Brazil Returns,Russia Returns,India Returns,China Returns,South Africa Returns
402,-0.0058904933,-0.0046545197,-0.0016075498,-0.0036220588,-0.0059928703
403,-0.0060505336,-0.0047777276,-0.0016675346,-0.0037230873,-0.0061315303
404,-0.0058822255,-0.0046427795,-0.0016288011,-0.0035945778,-0.00596916
405,-0.00567288,-0.0044770497,-0.0015685272,-0.0034469033,-0.0057756337
406,-0.0059581497,-0.004700289,-0.0016267461,-0.003673582,-0.006055707
407,-0.0060673538,-0.0047881096,-0.0016252903,-0.003790024,-0.0061823605
408,-0.0060218596,-0.004754141,-0.0016374855,-0.0037275818,-0.006122575
409,-0.0059609255,-0.0047040684,-0.0016601514,-0.0036431018,-0.0060369754
410,-0.005828479,-0.0046004173,-0.0016369898,-0.003535224,-0.0059025656
411,-0.005892519,-0.004646073,-0.0016653042,-0.003571993,-0.0059529454
412,-0.006116119,-0.0048211142,-0.0017079512,-0.0037515447,-0.0061753285
413,-0.0066188225,-0.0052068955,-0.001784303,-0.0041963574,-0.006684868
414,-0.006223538,-0.0049079405,-0.0016673487,-0.003909152,-0.006326807
415,-0.0061485595,-0.004853967,-0.0016541105,-0.0038436404,-0.00625294
416,-0.00605448,-0.0047840416,-0.0016460768,-0.00375368,-0.0061535174
417,-0.0059298505,-0.004687175,-0.0016264261,-0.0036477083,-0.0060268687
418,-0.0058821957,-0.0046469,-0.0016166988,-0.0036099302,-0.005978356
419,-0.0059135705,-0.0046688477,-0.0016162032,-0.0036406908,-0.006011161
420,-0.00592649,-0.004678584,-0.0016046792,-0.0036657052,-0.0060325633
421,-0.0058073523,-0.004588419,-0.0015492896,-0.0036027632,-0.0059378506
422,-0.005731353,-0.004532526,-0.0015265204,-0.003548427,-0.0058694542
423,-0.005634228,-0.0044588284,-0.0015120223,-0.003464302,-0.0057713375
424,-0.005529585,-0.0043764645,-0.0014947983,-0.003377168,-0.0056658587
425,-0.0057385103,-0.004537762,-0.0015482879,-0.0035317573,-0.0058619673
426,-0.0056356383,-0.0044573867,-0.0015092962,-0.003467946,-0.0057737245
427,-0.005795318,-0.0045793424,-0.0015305682,-0.0036105842,-0.0059375674
428,-0.00576867,-0.0045594443,-0.0015023467,-0.0036169942,-0.0059290538
429,-0.0056601255,-0.00447919,-0.0014837906,-0.0035219365,-0.005822061
430,-0.0055261333,-0.004375812,-0.0014753025,-0.003393184,-0.005678599
431,-0.0053731753,-0.0042518224,-0.0014643361,-0.003253723,-0.0055138967
432,-0.00564194,-0.004461371,-0.0015389324,-0.0034462865,-0.005763767
433,-0.0057322085,-0.004530674,-0.0015517059,-0.003524095,-0.005856635
434,-0.0058915587,-0.0046535027,-0.0015742892,-0.0036651164,-0.0060205613
435,-0.0056335074,-0.0044519757,-0.0015141909,-0.0034651337,-0.005772633
436,-0.005660291,-0.004472542,-0.0015389324,-0.0034670492,-0.0057855174
437,-0.0056629167,-0.0044718436,-0.0015694979,-0.0034407736,-0.0057662795
438,-0.005647327,-0.004455679,-0.0015892416,-0.0034084895,-0.0057335626
439,-0.00560968,-0.004421832,-0.0015888078,-0.0033732902,-0.0056894673
440,-0.005909039,-0.0046600066,-0.001652128,-0.0036027445,-0.0059815515
441,-0.0055990717,-0.0044214902,-0.0015319933,-0.0034119096,-0.005717121
442,-0.005622779,-0.004439803,-0.0015387052,-0.0034289905,-0.005739262
443,-0.005629666,-0.0044439766,-0.0015583043,-0.003417357,-0.0057332283
444,-0.005609605,-0.0044239415,-0.0015840165,-0.0033756075,-0.00569165
445,-0.0055699623,-0.0043876814,-0.0015984009,-0.0033266912,-0.005635469
446,-0.005639599,-0.0044403262,-0.001624588,-0.003369702,-0.005694195
447,-0.005950332,-0.0046914555,-0.0016737923,-0.0036217037,-0.0060099764
448,-0.0058727725,-0.0046310923,-0.0016418637,-0.0035751138,-0.005943856
449,-0.005834736,-0.004605426,-0.0016117733,-0.0035658726,-0.0059228255
450,-0.005785655,-0.004570327,-0.0015958709,-0.0035321682,-0.005879505
451,-0.0057145027,-0.0045159967,-0.0015875067,-0.0034700113,-0.0058056237
452,-0.005632022,-0.004451725,-0.0015719349,-0.0034043407,-0.005723642
453,-0.0055582286,-0.004390064,-0.0015629821,-0.0033404925,-0.0056447396
454,-0.0058496655,-0.0046187374,-0.0016187951,-0.0035720116,-0.0059327786
455,-0.0056442507,-0.0044604526,-0.0015323443,-0.0034522482,-0.0057621645
456,-0.006160113,-0.0048568356,-0.0016640237,-0.0038417717,-0.006247543
457,-0.006064683,-0.004786349,-0.00164428,-0.0037635567,-0.006156239
458,-0.005952808,-0.004700904,-0.0016361843,-0.0036579494,-0.0060378485
459,-0.0058240825,-0.0045979735,-0.001625218,-0.003542316,-0.005901214
460,-0.006001423,-0.004737612,-0.0016628671,-0.003679469,-0.006074253
461,-0.0057617077,-0.00454762,-0.0015989791,-0.0035050423,-0.005849167
462,-0.005788686,-0.004566274,-0.0016050716,-0.003527188,-0.0058751535
463,-0.0058179153,-0.0045890487,-0.0016065586,-0.0035550334,-0.0059077027
464,-0.005841968,-0.004606079,-0.0016350691,-0.00355223,-0.005915269
465,-0.005854512,-0.0046105413,-0.0016755064,-0.0035290753,-0.0059003592
466,-0.0058593135,-0.0046074297,-0.0017096654,-0.0035059766,-0.005880346
467,-0.00576966,-0.004531949,-0.0016965098,-0.0034335973,-0.005787059
468,-0.0060463473,-0.0047545433,-0.001746695,-0.0036497174,-0.0060634217
469,-0.0060250857,-0.004739752,-0.0017230688,-0.0036506143,-0.006056664
470,-0.0060309223,-0.004752274,-0.0016920076,-0.0036845803,-0.006087304
471,-0.0059741596,-0.004715657,-0.0016517562,-0.0036660414,-0.0060533895
472,-0.005972029,-0.0047126287,-0.0016790173,-0.0036379718,-0.0060321637
473,-0.0059603103,-0.004700676,-0.0016991327,-0.0036089302,-0.006004375
474,-0.0059906947,-0.0047214474,-0.0017077035,-0.0036304777,-0.006030761
475,-0.006175823,-0.0048647057,-0.0017507945,-0.003767285,-0.006206378
476,-0.0059527927,-0.0046916525,-0.0016687324,-0.003630188,-0.006014505
477,-0.005956769,-0.0046942024,-0.0016668944,-0.0036360375,-0.006019707
478,-0.0059710536,-0.004707028,-0.0016751346,-0.00364227,-0.006030408
479,-0.005971714,-0.004707256,-0.0016916359,-0.0036278428,-0.006019382
