,Brazil Returns,Russia Returns,India Returns,China Returns,South Africa Returns
53,0.031909548,0.20164083,0.033286322,-0.028320894,0.118127994
54,-0.10808963,0.21151356,-0.006750062,-0.057942294,-0.09041047
55,-0.048217,0.20874399,-0.113796726,-0.077417806,0.061514445
56,-0.172382,0.010331756,0.010775842,0.003976008,-0.010171709
57,-0.10290246,0.16457249,0.076170176,0.013433275,0.022009846
58,-0.057366807,0.2516035,0.00901083,-0.016008364,0.039151575
59,-0.039170124,0.15602793,-0.058724336,0.0122845275,0.06633842
60,-0.1215003,0.044520244,0.02566633,-0.040883936,0.02711714
61,-0.10496789,0.27259877,0.032318585,-0.06699397,0.13597974
62,-0.007489157,0.21301022,-0.110852145,0.02192607,-0.007229795
63,-0.043059282,0.22872017,0.08437417,-0.13336858,0.05830259
64,-0.17840311,-0.015316819,-0.076504625,0.007341339,-0.0016992795
65,-0.07311618,0.10511208,-0.06643128,-0.07280737,0.114296265
66,-0.07885745,0.07848952,0.0363792,-0.021553257,0.0440936
67,-0.1535833,0.13011326,0.0746921,-0.064121135,0.010043211
68,-0.2096108,0.13184604,0.05298309,-0.0717941,0.054900367
69,-0.12227848,0.052827798,0.110708095,-0.0141574815,-0.036619514
70,-0.14505565,0.18354352,0.013097559,-0.12686893,-0.054445785
71,-0.03612857,0.2608795,0.12521133,-0.09834879,0.046584252
72,-0.028940363,0.23215406,0.038035784,0.014981081,-0.09842458
73,-0.038197752,0.25777802,0.07035737,-0.070493475,-0.08059392
74,-0.07154028,0.092578575,0.01988799,-0.10739408,0.044229817
75,-0.14924212,0.23306401,0.05487503,-0.09726249,0.054370455
76,-0.087070525,0.10345567,0.051802788,0.023309326,0.11888068
77,-0.07778969,-0.015525821,0.0469853,-0.09350359,0.08761622
78,-0.24151312,0.13792692,0.05084741,0.015654054,0.08242914
79,-0.07720684,0.16595146,0.07074623,-0.1067281,0.08868403
80,-0.25126192,0.29183552,0.055748016,-0.0044375574,0.01218735
81,-0.05537441,0.35806078,-0.018903438,0.00082207867,-0.10110581
82,-0.1128147,0.061632574,0.059082896,-0.052931283,0.0898569
83,-0.10331127,0.12931591,-0.063066304,-0.02770043,0.08481533
84,-0.066582024,-0.034287088,0.08382886,-0.07108505,0.03652481
85,-0.07577578,0.17119366,0.012877715,0.031797186,-0.05327208
86,-0.28519097,0.0582169,-0.028237525,-0.054755397,0.07545311
87,-0.22669762,0.24030122,0.0410159,-0.006655365,0.15606272
88,-0.048441824,0.076099545,0.07431901,-0.047382616,0.028025707
89,-0.28343362,0.1801644,0.04455335,-0.0075623053,0.0449842
90,-0.07066127,0.111344844,0.10240705,-0.0038012743,0.055917915
91,-0.07734137,0.17378362,0.054387998,-0.03527981,0.016438145
92,-0.15631613,0.2462993,0.013587773,-0.07056252,-0.007688871
93,-0.1788442,-0.06503757,0.1406719,0.031575236,0.07738719
94,-0.10758853,-0.028927878,0.046099436,-0.022291798,0.07130543
95,-0.050685674,0.1002309,0.022496773,0.02492001,0.06861197
96,-0.009609445,0.17965162,-0.0038479683,-0.015863478,0.059159867
97,-0.14921305,0.18985453,0.084025905,-0.0057532187,0.042370893
98,-0.09745874,0.15678617,-0.02341797,0.035358902,0.03921007
99,-0.12806189,0.24391907,-0.08267134,0.049319845,-0.004956727
100,0.0066472753,0.20241036,0.07901324,-0.07467651,0.039569654
101,-0.09805129,0.06916469,0.04615021,-0.019725978,0.13195415
102,-0.051541116,0.06456618,0.012393293,0.0213482,-0.07242178
103,-0.108833514,0.10645447,0.025417263,-0.03481207,0.07482926
104,-0.15241872,-0.015832031,0.03774047,-0.022434767,0.13038369
105,-0.058289558,0.14512742,0.057511903,0.03920491,0.06325786
106,-0.15405771,0.1739064,0.038171336,-0.030926216,0.09446404
107,-0.117107645,0.06921093,0.051796213,0.0023756877,-0.013303492
108,-0.12651452,0.11347782,-0.04653352,-0.034307636,0.07603835
109,-0.0058460794,0.25244173,0.019421257,0.026006319,-0.023769997
110,-0.09117551,0.004057563,0.01810659,-0.1271924,-0.020779097
111,-0.14665984,0.15633614,0.040454473,0.026440727,0.09696025
112,-0.14512233,-0.07742752,0.057442892,-0.06700234,0.033775453
113,-0.08010013,0.09915716,0.06506121,-0.008235736,0.10477151
114,-0.011375321,0.18094595,0.044290096,-0.022939565,0.10248481
115,-0.0717598,0.116786264,0.08477574,-0.026550664,-0.056223087
116,-0.10891357,0.19316451,0.071495466,-0.04654706,0.072651096
117,-0.3799683,0.19144538,0.03391126,-0.079081796,-0.058345776
118,-0.124498814,0.28630787,0.059162255,-0.04912421,0.042130332
119,-0.01970797,0.29410148,0.012777923,-0.025825752,0.0630217
120,-0.13812624,0.1483656,0.043823548,-0.03297798,0.005080121
121,-0.053822998,0.012339422,-0.053712625,-0.0050641457,0.026076417
122,-0.12778653,0.209882,0.06796084,-0.060155734,0.039614372
123,-0.13978112,0.2696216,0.036472145,0.04580823,0.051460564
124,-0.053570017,0.088998444,0.12093427,-0.026032267,0.097902134
125,-0.13517815,0.11960369,0.031935308,-0.032970514,0.06026869
126,0.006690519,-0.012686701,0.023301996,-0.047165204,0.045335777
127,-0.0542373,0.08473243,0.060594007,-0.016262403,-0.049150363
128,-0.032425735,0.23052879,0.04903774,-0.118174516,0.09300393
129,-0.19755027,0.16045812,0.03836735,0.022853388,-0.033153478
130,-0.111746706,0.23109928,0.05616406,0.069399506,-0.07168493
131,-0.11223305,0.013316913,0.05860814,-0.0072531737,0.057281844
132,-0.08324907,0.19208963,0.045270305,-0.12422293,0.0688281
133,-0.26487893,0.119864546,-0.051300973,-0.033746846,0.09570902
134,-0.09090491,0.1461777,0.034109164,0.029655645,0.054299366
135,-0.06418706,0.16530141,0.057591714,-0.05210507,0.057195187
136,0.006686783,0.25828034,0.020043015,-0.09659489,0.041066125
137,-0.07304789,0.055289228,0.041388385,-0.053900246,0.09959017
