,Brazil Returns,Russia Returns,India Returns,China Returns,South Africa Returns
78,-0.018954538,-0.037353154,-0.016465139,-0.036517244,-0.0017144999
79,-0.02832673,-0.023155304,-0.01432095,-0.019114358,-0.0275637
80,-0.03551213,-0.021273866,-0.0337551,-0.025337836,-0.022300709
81,-0.030393435,-0.013312857,-0.03852634,-0.0331213,-0.021524949
82,-0.06524256,-0.016384643,-0.041591745,-0.030042347,-0.02233413
83,-0.023397692,-0.00794131,-0.05404436,-0.018221905,-0.026257776
84,-0.021557363,-0.03621824,-0.013364627,-0.0273009,-0.0046539973
85,-0.01983272,-0.03347306,-0.015000742,-0.0260672,0.0015912701
86,-0.012764773,-0.020553833,-0.010590516,-0.028371137,-0.023271428
87,-0.014585086,-0.02240059,-0.012862764,-0.029813206,-0.020007858
88,-0.0132459,-0.020401219,-0.0048588235,-0.028622676,-0.023390032
89,-0.013377071,-0.006287795,-0.043107092,-0.031576432,-0.02917451
90,-0.014405585,-0.01778841,-0.05202323,-0.022393579,-0.021860763
91,-0.023547214,-0.029061187,-0.038160414,-0.019232001,-0.009886061
92,-0.025224952,-0.034155607,-0.058064073,-0.024628444,-0.00719236
93,-0.02022002,-0.030494241,-0.05130102,-0.028162684,-0.02542913
94,-0.004638334,-0.03026792,-0.050385155,-0.035353187,-0.02542913
95,-0.017347997,-0.021631591,-0.0136818625,-0.028459368,-0.025920035
96,-0.011797824,-0.016352927,-0.062635064,-0.025593845,-0.02715938
97,-0.0067759673,-0.016905282,-0.064584024,-0.03215787,-0.025252333
98,-0.026000727,-0.027468732,-0.02462989,-0.027948666,-0.0078689605
99,-0.07141501,-0.020845124,-0.017330302,-0.012157448,0.0022011516
100,-0.023956709,-0.020880405,-0.020877466,-0.018786145,-0.018944679
101,-0.038172092,-0.027864281,-0.021798609,-0.025785858,-0.025610868
102,-0.040948372,-0.020061048,-0.016462883,-0.030082442,-0.02755049
103,-0.032532584,-0.029005202,-0.00811779,-0.019277517,-0.025446398
104,-0.017893193,-0.00929238,-0.043077238,-0.02361862,-0.03291599
105,-0.045880627,-0.025864888,-0.032536745,-0.027232738,-0.011299007
106,-0.034112927,-0.02142939,-0.05232996,-0.011757304,-0.013178478
107,-0.025843957,-0.026882738,-0.053561952,-0.025690103,-0.028755074
108,-0.031521082,-0.023259327,-0.048492048,-0.034831617,-0.02285726
109,-0.03977359,-0.027042313,-0.050718866,-0.026868751,-0.021205248
110,-0.03772049,-0.014052279,-0.0064387126,-0.03366197,-0.021658802
111,-0.010901111,-0.007985692,-0.0006304923,-0.031027136,-0.027703475
112,-0.029935775,-0.028255928,-0.016155781,-0.023526764,0.0053201816
113,-0.035394643,-0.025107212,-0.01660653,-0.037491396,-0.0022672713
114,-0.030851424,-0.016621793,-0.012930432,-0.033892304,-0.022792766
115,-0.033034716,-0.01917136,-0.043259367,-0.02885062,-0.023106072
116,-0.0348646,-0.021616217,-0.04615922,-0.029232735,-0.027210856
117,-0.018647317,-0.01580925,-0.011155094,-0.026554154,-0.03720791
118,-0.010553212,-0.021362256,-0.015011032,-0.021921055,-0.025378726
119,-0.06253193,-0.028604737,-0.00821529,-0.019465394,-0.014922137
120,-0.010286802,-0.007345935,-0.04432812,-0.024559984,-0.00038831081
121,-0.022571292,-0.009396904,-0.04607372,-0.020128528,-0.025129618
122,-0.033006836,0.0033886721,-0.022463972,-0.027519902,-0.018888075
123,-0.03417473,-0.001094068,-0.019532152,-0.03156704,-0.019367587
124,-0.031633828,0.00024878237,-0.057455786,-0.024429582,-0.02998272
125,-0.028575493,-0.013007944,-0.012993732,-0.014967944,-0.03122788
126,-0.017275164,-0.020319667,-0.05001623,-0.023525931,-0.008454848
127,-0.030018378,-0.026762793,-0.026273988,-0.025446778,-0.014397693
128,-0.04875245,-0.020789906,-0.014671993,-0.032132693,-0.02464501
129,-0.069421515,-0.0185669,-0.013617396,-0.028502576,-0.022616893
130,-0.06706106,-0.018628167,-0.0159452,-0.034402218,-0.029562468
131,-0.041539446,-0.014255339,-0.01197112,-0.03348298,-0.028779315
132,-0.027418178,-0.012968284,-0.022590848,-0.02900977,-0.031490713
133,-0.02133019,-0.021040147,-0.015485034,-0.023221388,-0.00758055
134,-0.0068999664,-0.021962019,-0.0048081423,-0.03248943,-0.0035209863
135,-0.03970124,-0.020504816,-0.005781999,-0.031617325,-0.027413731
136,-0.024984697,-0.021993171,-0.007793419,-0.026779179,-0.031461034
137,-0.026130818,-0.00980093,-0.02060789,-0.022746908,-0.030914351
138,-0.0057822494,-0.011797531,-0.009621963,-0.023715911,-0.026148094
139,-0.065929964,-0.0073459805,-0.013919344,-0.024352157,-0.026121099
