Date, Open, High, Low, Close
02/06/12, 1.5815, 1.5820, 1.5815, 1.5820
02/03/12, 1.5808, 1.5815, 1.5808, 1.5815
02/02/12, 1.5834, 1.5834, 1.5808, 1.5808
02/01/12, 1.5761, 1.5834, 1.5761, 1.5834
01/31/12, 1.5712, 1.5761, 1.5712, 1.5761
01/30/12, 1.5735, 1.5735, 1.5712, 1.5712
01/27/12, 1.5691, 1.5735, 1.5691, 1.5735
01/26/12, 1.5657, 1.5691, 1.5657, 1.5691
01/25/12, 1.5626, 1.5657, 1.5626, 1.5657
01/24/12, 1.5568, 1.5626, 1.5568, 1.5626
01/23/12, 1.5577, 1.5577, 1.5568, 1.5568
01/20/12, 1.5489, 1.5577, 1.5489, 1.5577
01/19/12, 1.5438, 1.5489, 1.5438, 1.5489
01/18/12, 1.5335, 1.5438, 1.5335, 1.5438
01/17/12, 1.5327, 1.5335, 1.5327, 1.5335
01/16/12, 1.5318, 1.5327, 1.5318, 1.5327
01/13/12, 1.5334, 1.5334, 1.5318, 1.5318
01/12/12, 1.5331, 1.5334, 1.5331, 1.5334
01/11/12, 1.5485, 1.5485, 1.5331, 1.5331
01/10/12, 1.5454, 1.5485, 1.5454, 1.5485
01/09/12, 1.5428, 1.5454, 1.5428, 1.5454
01/06/12, 1.5495, 1.5495, 1.5428, 1.5428
01/05/12, 1.5617, 1.5617, 1.5495, 1.5495
01/04/12, 1.5650, 1.5650, 1.5617, 1.5617
01/03/12, 1.5513, 1.5650, 1.5513, 1.5650
01/02/12, 1.5545, 1.5545, 1.5513, 1.5513
12/30/11, 1.5416, 1.5545, 1.5416, 1.5545
12/29/11, 1.5459, 1.5459, 1.5416, 1.5416
12/28/11, 1.5672, 1.5672, 1.5459, 1.5459
12/27/11, 1.5631, 1.5672, 1.5631, 1.5672
12/26/11, 1.5589, 1.5631, 1.5589, 1.5631
12/23/11, 1.5677, 1.5677, 1.5589, 1.5589
12/22/11, 1.5675, 1.5677, 1.5675, 1.5677
12/21/11, 1.5662, 1.5675, 1.5662, 1.5675
12/20/11, 1.5499, 1.5662, 1.5499, 1.5662
12/19/11, 1.5546, 1.5546, 1.5499, 1.5499
12/16/11, 1.5514, 1.5546, 1.5514, 1.5546
12/15/11, 1.5467, 1.5514, 1.5467, 1.5514
12/14/11, 1.5479, 1.5479, 1.5467, 1.5467
12/13/11, 1.5584, 1.5584, 1.5479, 1.5479
12/12/11, 1.5671, 1.5671, 1.5584, 1.5584
12/09/11, 1.5631, 1.5671, 1.5631, 1.5671
12/08/11, 1.5711, 1.5711, 1.5631, 1.5631
12/07/11, 1.5602, 1.5711, 1.5602, 1.5711
