Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11,82.098000,82.389999,80.949997,81.410004,81.410004,527720
2020-08-12,79.900002,82.199997,79.199997,80.961998,80.961998,235560
2020-08-13,81.980003,82.434998,80.550003,82.039001,82.039001,225210
2020-08-14,82.480003,82.480003,81.830002,82.084999,82.084999,139370
2020-08-17,82.400002,82.900002,81.500000,82.656998,82.656998,191340
2020-08-18,82.800003,83.900002,82.599998,83.269997,83.269997,160750
2020-08-19,84.900002,88.269997,83.500000,83.828003,83.828003,221560
2020-08-20,83.750000,83.800003,82.400002,82.802002,82.802002,611370
2020-08-21,84.000000,85.080002,83.600998,84.976997,84.976997,159480
2020-08-24,86.389999,86.389999,84.820000,85.093002,85.093002,393850
2020-08-25,86.000000,86.000000,84.199997,84.877998,84.877998,314060
2020-08-26,85.250000,86.699997,85.230003,86.314003,86.314003,614470
2020-08-27,99.260002,99.260002,86.699997,87.492996,87.492996,1102110
2020-08-28,87.492996,88.400002,85.809998,86.030998,86.030998,467140
2020-08-31,80.870003,87.889999,80.870003,87.219002,87.219002,494720
2020-09-01,89.900002,89.900002,87.449997,87.574997,87.574997,711480
2020-09-02,88.800003,89.394997,88.099998,89.058998,89.058998,762160
2020-09-03,90.022003,90.022003,89.400002,89.459000,89.459000,1226140
2020-09-04,86.779999,87.500000,84.089996,84.861000,84.861000,1310570
2020-09-07,85.459999,85.459999,83.004997,83.346001,83.346001,442310
2020-09-08,86.000000,86.000000,82.199997,83.476997,83.476997,1154960
2020-09-09,82.394997,84.000000,79.600998,82.442001,82.442001,2006080
2020-09-10,83.500000,84.879997,82.010002,82.190002,82.190002,724650
2020-09-11,84.294998,84.294998,80.504997,82.228996,82.228996,857480
2020-09-14,87.000000,87.000000,80.801003,80.983002,80.983002,570930
2020-09-15,82.433998,82.494003,81.300003,81.338997,81.338997,440570
2020-09-16,84.000000,84.000000,82.019997,82.885002,82.885002,209030
2020-09-17,83.900002,83.900002,80.510002,80.860001,80.860001,1930790
2020-09-18,80.500000,81.263000,79.900002,80.205002,80.205002,846800
2020-09-21,81.300003,81.300003,77.599998,77.938004,77.938004,1047580
2020-09-22,79.000000,81.195000,77.720001,80.313004,80.313004,717280
2020-09-23,81.500000,81.500000,79.712997,81.267998,81.267998,738180
2020-09-24,83.000000,83.000000,78.199997,78.929001,78.929001,1093760
2020-09-25,81.300003,81.980003,79.004997,80.056000,80.056000,1336210
2020-09-28,81.974998,82.199997,81.000999,81.745003,81.745003,519780
2020-09-29,83.230003,83.480003,82.004997,82.373001,82.373001,931150
2020-09-30,83.000000,83.000000,81.599998,81.919998,81.919998,2367000
2020-10-01,88.800003,88.800003,82.660004,82.765999,82.765999,196120
2020-10-05,95.180000,95.180000,81.318001,81.492996,81.492996,431820
2020-10-06,82.500000,83.206001,82.310997,82.598999,82.598999,498970
2020-10-07,81.773003,82.531998,81.199997,82.119003,82.119003,454880
2020-10-08,83.389999,83.500000,82.754997,82.852997,82.852997,229910
2020-10-09,83.900002,84.099998,82.809998,83.495003,83.495003,1345190
2020-10-12,86.400002,86.400002,83.495003,84.658997,84.658997,519700
2020-10-13,87.000000,87.244003,85.000000,87.121002,87.121002,526720
2020-10-14,85.510002,88.455002,85.510002,87.375000,87.375000,1372080
2020-10-15,86.989998,86.989998,85.011002,85.140999,85.140999,845660
2020-10-16,85.140999,86.000000,85.000000,85.862999,85.862999,212300
2020-10-19,86.489998,86.489998,85.800003,86.257004,86.257004,219200
2020-10-20,86.000000,86.000000,84.199997,84.918999,84.918999,1071830
2020-10-21,84.940002,86.000000,83.699997,84.251999,84.251999,721800
2020-10-22,84.444000,84.689003,83.510002,84.242996,84.242996,358870
2020-10-23,85.000000,85.000000,84.010002,84.720001,84.720001,1291280
2020-10-26,85.495003,85.495003,83.688004,83.876999,83.876999,342060
2020-10-27,83.500000,83.856003,82.783997,83.739998,83.739998,128130
2020-10-28,83.739998,84.464996,83.400002,83.880997,83.880997,1548190
2020-10-29,82.699997,83.042000,81.300003,82.317001,82.317001,437220
2020-10-30,83.000000,83.000000,81.699997,82.346001,82.346001,285050
2020-11-02,82.000000,82.000000,81.000000,81.734001,81.734001,656440
2020-11-03,82.500000,82.500000,81.418999,82.245003,82.245003,1291310
2020-11-04,83.809998,86.000000,83.500000,85.267998,85.267998,508040
2020-11-05,85.980003,88.199997,85.980003,87.739998,87.739998,846130
2020-11-06,88.489998,89.001999,86.682999,87.056999,87.056999,2212610
2020-11-09,88.894997,90.085999,88.000000,89.862999,89.862999,696370
2020-11-10,89.500000,89.500000,85.599998,86.559998,86.559998,1351910
2020-11-11,86.550003,86.787003,85.099998,86.379997,86.379997,1890820
2020-11-12,88.389999,88.389999,86.129997,87.203003,87.203003,583590
2020-11-13,86.800003,88.000000,86.210999,87.871002,87.871002,957690
2020-11-14,101.050003,101.050003,87.500000,88.408997,88.408997,127670
2020-11-17,90.000000,90.000000,86.699997,88.018997,88.018997,809290
2020-11-18,88.300003,88.300003,87.139000,87.579002,87.579002,1046860
2020-11-19,88.000000,88.000000,86.400002,86.749001,86.749001,931110
2020-11-20,87.900002,87.900002,86.911003,87.611000,87.611000,158960
2020-11-23,86.500000,87.878998,86.500000,87.222000,87.222000,212240
2020-11-24,87.500000,87.789001,87.099998,87.206001,87.206001,1631140
2020-11-25,89.000000,89.000000,87.206001,87.806999,87.806999,254930
2020-11-26,89.389999,89.389999,87.850998,88.593002,88.593002,173010
2020-11-27,89.800003,89.800003,88.257004,88.994003,88.994003,152010
2020-12-01,94.330002,94.330002,88.994003,89.577003,89.577003,428360
2020-12-02,88.111000,91.000000,84.199997,90.652000,90.652000,285240
2020-12-03,91.500000,91.500000,90.652000,91.013000,91.013000,1747120
2020-12-04,91.013000,91.699997,91.000999,91.163002,91.163002,190690
2020-12-07,92.000000,92.000000,90.084000,91.093002,91.093002,241290
2020-12-08,92.500000,92.500000,90.699997,91.475998,91.475998,1466010
2020-12-09,92.000000,92.089996,91.010002,91.232002,91.232002,329510
2020-12-10,91.199997,91.199997,89.000000,89.196999,89.196999,439150
2020-12-11,89.894997,90.400002,89.210999,89.698997,89.698997,1601140
2020-12-14,90.995003,91.000000,89.699997,89.894997,89.894997,157720
2020-12-15,90.210999,90.900002,90.005997,90.813004,90.813004,275720
2020-12-16,92.300003,92.300003,91.150002,91.653999,91.653999,1719720
2020-12-17,97.150002,97.150002,91.400002,91.875000,91.875000,351180
2020-12-18,92.300003,92.699997,91.500000,92.377998,92.377998,1428870
2020-12-21,93.290001,93.290001,91.449997,91.577003,91.577003,463220
2020-12-22,91.510002,92.790001,86.080002,91.945999,91.945999,248340
2020-12-23,92.985001,93.095001,91.710999,92.704002,92.704002,1515850
2020-12-24,94.099998,94.099998,91.710999,92.014999,92.014999,214560
2020-12-28,93.988998,93.988998,92.199997,92.393997,92.393997,267550
2020-12-29,93.889999,93.889999,93.000000,93.424004,93.424004,688660
2020-12-30,93.424004,93.588997,92.599998,92.779999,92.779999,258630
2020-12-31,93.300003,93.300003,92.210999,92.667999,92.667999,140300
2021-01-01,93.489998,93.489998,92.611000,93.116997,93.116997,125740
2021-01-04,93.489998,93.889999,92.514000,93.257004,93.257004,1508490
2021-01-05,92.489998,92.799004,91.191002,91.296997,91.296997,909880
2021-01-06,92.190002,92.190002,90.254997,90.716003,90.716003,1680230
2021-01-07,91.989998,91.989998,89.599998,90.884003,90.884003,385560
2021-01-08,93.389999,93.988998,92.199997,93.655998,93.655998,457630
2021-01-11,94.900002,94.974998,93.800003,94.601997,94.601997,1483550
2021-01-12,92.989998,93.800003,92.989998,93.643997,93.643997,338340
2021-01-13,99.260002,99.260002,92.610001,93.429001,93.429001,1385370
2021-01-14,93.989998,93.989998,93.099998,93.420998,93.420998,245390
2021-01-15,94.180000,94.180000,92.358002,92.856003,92.856003,740640
2021-01-18,92.489998,92.595001,91.824997,92.422997,92.422997,271250
2021-01-19,92.606003,93.400002,92.606003,93.389999,93.389999,178430
2021-01-20,94.800003,94.800003,93.800003,94.306000,94.306000,1478940
2021-01-21,95.099998,96.297997,95.010002,96.086998,96.086998,386510
2021-01-22,96.400002,96.589996,95.835999,95.971001,95.971001,1589760
2021-01-25,95.971001,97.099998,95.971001,97.035004,97.035004,255070
2021-01-27,102.860001,102.860001,97.000000,97.336998,97.336998,562640
2021-01-28,95.489998,98.474998,92.735001,92.947998,92.947998,952060
2021-01-29,94.790001,95.510002,93.000000,93.846001,93.846001,693470
2021-02-01,94.000000,94.199997,92.000000,94.093002,94.093002,577000
2021-02-02,97.480003,97.480003,95.300003,96.205002,96.205002,442540
2021-02-03,97.599998,97.900002,96.972000,97.580002,97.580002,572640
2021-02-04,98.000000,98.000000,96.199997,96.755997,96.755997,333170
2021-02-05,99.489998,99.489998,97.099998,97.834999,97.834999,340580
2021-02-08,99.900002,100.989998,98.000000,98.435997,98.435997,304050
2021-02-09,99.400002,99.400002,98.010002,98.433998,98.433998,297930
2021-02-10,99.889999,99.889999,98.500000,98.818001,98.818001,331530
2021-02-11,99.199997,99.199997,98.001999,98.567001,98.567001,270290
2021-02-12,100.989998,100.989998,98.300003,98.434998,98.434998,334990
2021-02-15,100.889999,100.889999,98.500000,98.681000,98.681000,464390
2021-02-16,100.000000,100.000000,99.000000,99.473999,99.473999,317080
2021-02-17,99.889999,99.889999,98.500000,98.676003,98.676003,495850
2021-02-18,98.934998,98.934998,97.610001,97.771004,97.771004,290010
2021-02-19,97.989998,97.998001,97.110001,97.897003,97.897003,172980
2021-02-22,97.489998,97.897003,94.597000,96.216003,96.216003,796640
2021-02-23,96.216003,96.216003,93.749001,94.126999,94.126999,702350
2021-02-24,94.790001,95.400002,93.110001,94.417000,94.417000,319190
2021-02-25,95.790001,95.790001,94.419998,94.682999,94.682999,500230
2021-02-26,91.839996,93.699997,88.985001,93.683998,93.683998,995080
2021-03-01,100.709999,100.709999,94.014999,95.351997,95.351997,718500
2021-03-02,99.489998,99.489998,95.199997,95.478996,95.478996,591130
2021-03-03,96.489998,96.489998,94.599998,94.884003,94.884003,501510
2021-03-04,100.580002,100.580002,90.589996,91.253998,91.253998,3913920
2021-03-05,90.989998,90.989998,89.080002,89.303001,89.303001,1539610
2021-03-08,92.489998,92.489998,89.529999,89.949997,89.949997,611760
2021-03-09,89.889999,90.400002,89.455002,90.333000,90.333000,659720
2021-03-10,92.974998,92.974998,91.000000,92.011002,92.011002,771160
2021-03-12,94.499001,94.499001,92.000000,92.153999,92.153999,739110
2021-03-15,93.989998,93.989998,92.000000,92.718002,92.718002,525880
2021-03-16,93.500000,94.399002,92.900002,93.410004,93.410004,991680
2021-03-17,95.489998,95.489998,93.014999,94.084000,94.084000,416630
2021-03-18,93.809998,95.400002,93.001999,93.572998,93.572998,701030
2021-03-19,91.989998,92.300003,90.115997,92.231003,92.231003,868980
2021-03-22,93.989998,93.989998,91.216003,92.334999,92.334999,321490
2021-03-23,94.279999,94.279999,92.404999,93.387001,93.387001,597760
2021-03-24,94.190002,94.190002,92.800003,93.528000,93.528000,339940
2021-03-25,92.989998,92.989998,91.188004,91.934998,91.934998,788660
2021-03-26,91.940002,92.397003,91.610001,92.057999,92.057999,304830
2021-03-30,93.989998,93.989998,92.402000,93.385002,93.385002,342980
2021-03-31,97.989998,97.989998,92.955002,93.427002,93.427002,507370
2021-04-01,95.489998,95.489998,93.803001,95.008003,95.008003,389810
2021-04-05,96.989998,96.989998,95.510002,96.545998,96.545998,523870
2021-04-06,97.500000,98.489998,96.610001,97.696999,97.696999,508140
2021-04-07,98.989998,99.900002,97.495003,99.808998,99.808998,1002810
2021-04-08,102.000000,102.000000,99.510002,100.388000,100.388000,757410
2021-04-09,102.889999,102.889999,100.510002,101.347000,101.347000,686330
2021-04-12,101.699997,102.262001,101.199997,102.100998,102.100998,550580
2021-04-13,105.160004,105.989998,101.500999,102.922997,102.922997,437540
2021-04-15,102.489998,102.900002,101.099998,102.732002,102.732002,629050
2021-04-16,105.000000,105.000000,102.500000,102.834999,102.834999,1990240
2021-04-19,103.889999,103.956001,100.000000,103.726997,103.726997,861400
2021-04-20,103.989998,103.989998,102.389000,103.016998,103.016998,1305570
2021-04-22,105.889999,105.889999,100.622002,102.905998,102.905998,440810
2021-04-23,102.489998,102.698997,101.449997,101.875000,101.875000,560980
2021-04-26,104.889999,104.889999,102.206001,102.333000,102.333000,285190
2021-04-27,103.500000,103.500000,102.699997,103.233002,103.233002,258760
2021-04-28,104.489998,104.489998,102.000000,102.971001,102.971001,852830
2021-04-29,104.445000,104.445000,102.099998,102.670998,102.670998,576590
2021-04-30,103.199997,103.199997,101.500000,102.077003,102.077003,679500
2021-05-03,103.199997,103.199997,101.400002,101.959999,101.959999,414010
2021-05-04,101.489998,102.849998,100.599998,101.155998,101.155998,737180
2021-05-05,100.489998,114.309998,99.250000,99.660004,99.660004,1349480
2021-05-06,100.989998,100.989998,98.550003,98.774002,98.774002,628770
2021-05-07,100.000000,100.000000,99.000000,99.184998,99.184998,427340
2021-05-10,101.489998,101.489998,99.214996,99.331001,99.331001,430860
2021-05-11,97.489998,99.290001,96.327003,96.695999,96.695999,1857620
2021-05-12,96.695999,97.595001,95.655998,96.412003,96.412003,1173950
2021-05-14,96.995003,97.000000,95.797997,96.273003,96.273003,1307440
2021-05-17,97.599998,97.599998,96.250000,96.586998,96.586998,899920
2021-05-18,97.489998,97.489998,96.303001,96.862000,96.862000,634760
2021-05-19,96.190002,96.190002,94.856003,95.128998,95.128998,2402460
2021-05-20,94.209999,96.195000,94.000000,95.290001,95.290001,453390
2021-05-21,98.989998,98.989998,96.199997,97.362000,97.362000,445940
2021-05-24,96.410004,98.190002,96.410004,97.156998,97.156998,735990
2021-05-25,97.838997,98.598000,97.699997,98.433998,98.433998,810890
2021-05-26,98.671997,99.000000,98.200996,98.553001,98.553001,633770
2021-05-27,98.553001,98.900002,97.665001,97.855003,97.855003,538050
2021-05-28,98.695000,98.699997,97.844002,98.102997,98.102997,344540
2021-05-31,99.389999,99.389999,97.750000,98.185997,98.185997,428680
2021-06-01,98.989998,98.989998,98.000999,98.306000,98.306000,648140
2021-06-02,99.000000,99.000000,98.000000,98.459999,98.459999,381520
2021-06-03,98.995003,99.000000,97.966003,98.045998,98.045998,491920
2021-06-04,97.489998,97.899002,97.070999,97.647003,97.647003,1010500
2021-06-07,98.695000,99.050003,97.500000,98.685997,98.685997,436160
2021-06-08,99.900002,99.989998,99.047997,99.374001,99.374001,423150
2021-06-09,99.889999,99.889999,99.050003,99.123001,99.123001,291370
2021-06-10,99.839996,99.839996,98.632004,98.747002,98.747002,391800
2021-06-11,100.989998,104.669998,99.510002,100.664001,100.664001,574500
2021-06-14,101.790001,101.790001,99.809998,101.152000,101.152000,496420
2021-06-15,102.389999,102.400002,101.550003,102.185997,102.185997,371470
2021-06-16,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-17,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-18,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-21,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-22,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-23,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-24,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-25,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-28,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-29,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-06-30,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-01,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-02,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-05,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-06,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-07-07,102.185997,102.185997,102.185997,102.185997,102.185997,0
